image,label,base_prediction,causal_prediction,control_predictions,causal_cell,control_cells,base_true_probability,causal_true_probability,control_true_probability_mean,display_control_true_probability,causal_probability_drop,control_probability_drop,display_control_probability_drop,paired_drop_advantage,causal_entropy_change,control_entropy_change,causal_feature_cosine,control_feature_cosine,base_correct,causal_flipped_from_base,control_flip_rate
../Emotional_colorTransfer/implementation/Emotion6/disgust/224.jpg,disgust,joy,anger,joy;disgust;joy;disgust;disgust;joy;disgust;joy;disgust;joy;disgust;disgust;disgust;disgust;joy,11,13;7;15;8;10;9;3;2;1;12;4;6;5;0;14,0.25591012835502625,0.24696624279022217,0.3107413331667582,0.3113793432712555,0.008943885564804077,-0.05483120481173198,-0.05546921491622925,0.06377509037653606,0.009044051170349121,-0.05846834182739258,0.991647481918335,0.986104428768158,0,1,0.6
../Emotional_colorTransfer/implementation/Emotion6/disgust/292.jpg,disgust,disgust,disgust,disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust,15,4;1;2;12;8;13;6;14;0;9;3;7;11;10;5,0.8861450552940369,0.8385801315307617,0.8869218905766805,0.8887549042701721,0.047564923763275146,-0.0007768352826436065,-0.002609848976135254,0.04834175904591875,0.15241825580596924,-0.0030257105827331543,0.9961352348327637,0.9920099973678589,1,0,0.0
../Emotional_colorTransfer/implementation/Emotion6/fear/111.jpg,fear,sadness,sadness,sadness;sadness;sadness;sadness;sadness;sadness;sadness;sadness;sadness;sadness;sadness;sadness;sadness;sadness;sadness,13,5;15;12;11;3;4;7;10;2;6;0;1;9;8;14,0.1387805938720703,0.08064469695091248,0.15037712454795837,0.21748748421669006,0.05813589692115784,-0.011596530675888062,-0.07870689034461975,0.0697324275970459,0.02697622776031494,-0.02807605266571045,0.9886599183082581,0.9883283972740173,0,0,0.0
../Emotional_colorTransfer/implementation/Emotion6/fear/274.jpg,fear,fear,fear,fear;fear;fear;fear;fear;fear;fear;fear;fear;sadness;fear;fear;fear;fear;fear,5,12;6;15;11;13;9;2;14;8;10;4;0;3;7;1,0.45868533849716187,0.41407519578933716,0.4403788546721141,0.47455090284347534,0.04461014270782471,0.018306483825047792,-0.015865564346313477,0.026303658882776915,0.030469059944152832,0.0057877302169799805,0.9978041648864746,0.9977594614028931,1,0,0.06666666666666667
../Emotional_colorTransfer/implementation/Emotion6/surprise/133.jpg,surprise,anger,anger,anger;anger;anger;anger;anger;anger;anger;anger;anger;anger;anger;anger;anger;anger;anger,9,8;15;2;4;5;10;13;7;3;11;6;12;14;0;1,0.37871089577674866,0.2795344889163971,0.35657529830932616,0.3146003782749176,0.09917640686035156,0.022135597467422496,0.06411051750183105,0.07704080939292907,0.11345183849334717,0.017598748207092285,0.9797897934913635,0.9934688806533813,0,0,0.0
../Emotional_colorTransfer/implementation/Emotion6/joy/242.jpg,joy,surprise,surprise,surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise,14,15;9;11;4;0;6;1;5;10;3;8;7;13;12;2,0.14375804364681244,0.06661267578601837,0.15465867320696514,0.14375804364681244,0.07714536786079407,-0.010900629560152697,0.0,0.08804599742094676,-0.06841826438903809,-0.017168045043945312,0.9425287246704102,0.9881837368011475,0,0,0.0
../Emotional_colorTransfer/implementation/Emotion6/joy/209.jpg,joy,disgust,disgust,disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust,10,13;15;3;1;14;6;7;9;5;11;4;8;0;2;12,0.1296299397945404,0.04901846870779991,0.1265760471423467,0.13105683028697968,0.0806114710867405,0.003053892652193718,-0.00142689049243927,0.07755757843454678,-0.26242733001708984,0.0393902063369751,0.9866460561752319,0.9924620985984802,0,0,0.0
../Emotional_colorTransfer/implementation/Emotion6/disgust/160.jpg,disgust,disgust,disgust,disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust;disgust,14,11;5;9;8;4;10;7;1;2;15;13;3;12;6;0,0.6372493505477905,0.5918235182762146,0.6193015019098917,0.6191040873527527,0.04542583227157593,0.017947848637898778,0.018145263195037842,0.02747798363367715,0.07816541194915771,0.03220939636230469,0.9954110383987427,0.988910973072052,1,0,0.0
../Emotional_colorTransfer/implementation/Emotion6/surprise/134.jpg,surprise,joy,fear,surprise;fear;surprise;surprise;fear;surprise;fear;joy;fear;surprise;fear;fear;fear;joy;joy,9,3;2;13;12;8;11;7;4;10;6;14;5;1;0;15,0.2878885567188263,0.060305364429950714,0.24695203602313995,0.3462977707386017,0.22758319228887558,0.040936520695686346,-0.05840921401977539,0.18664667159318923,0.01618802547454834,0.1340421438217163,0.7548099160194397,0.9130469560623169,0,1,0.8
../Emotional_colorTransfer/implementation/Emotion6/anger/225.jpg,anger,anger,anger,anger;anger;anger;anger;anger;anger;anger;anger;anger;anger;anger;anger;anger;anger;anger,14,9;13;1;0;10;6;3;2;15;7;5;8;4;11;12,0.74833083152771,0.7258578538894653,0.7751080671946208,0.7992201447486877,0.02247297763824463,-0.026777235666910815,-0.05088931322097778,0.049250213305155444,0.05182850360870361,-0.0699460506439209,0.9988691210746765,0.9952784776687622,1,0,0.0
../Emotional_colorTransfer/implementation/Emotion6/anger/110.jpg,anger,surprise,surprise,surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise;surprise,6,11;0;9;2;15;12;1;7;10;8;3;5;4;14;13,0.19027183949947357,0.15150195360183716,0.1970561961332957,0.19998662173748016,0.038769885897636414,-0.006784356633822125,-0.009714782238006592,0.04555424253145854,0.02836465835571289,-0.011894702911376953,0.9812601208686829,0.9940251708030701,0,0,0.0
../Emotional_colorTransfer/implementation/Emotion6/fear/133.jpg,fear,fear,fear,fear;fear;fear;fear;fear;fear;fear;fear;fear;fear;fear;fear;fear;fear;fear,8,14;6;7;13;10;4;5;2;15;9;12;3;1;0;11,0.8049815893173218,0.7558463215827942,0.7964483857154846,0.7526918053627014,0.04913526773452759,0.00853320360183718,0.05228978395462036,0.04060206413269041,0.12701797485351562,0.017926394939422607,0.9944614171981812,0.9935404658317566,1,0,0.0
../Emotional_colorTransfer/implementation/Emotion6/sadness/266.jpg,sadness,fear,fear,fear;fear;fear;fear;fear;fear;fear;fear;fear;fear;fear;fear;fear;fear;fear,11,3;14;4;13;10;8;1;0;12;6;15;5;7;2;9,0.02905554510653019,0.019771570339798927,0.033412344629565875,0.029854655265808105,0.009283974766731262,-0.004356799523035686,-0.000799110159277916,0.013640774289766948,-0.01672816276550293,0.03168439865112305,0.9965802431106567,0.9973698258399963,0,0,0.0
../Emotional_colorTransfer/implementation/Emotion6/surprise/44.jpg,surprise,joy,joy,joy;joy;joy;joy;joy;joy;joy;joy;joy;joy;joy;joy;joy;joy;joy,5,1;13;12;9;10;11;8;15;0;2;6;7;4;3;14,0.16562415659427643,0.08945713192224503,0.1718106711904208,0.16110862791538239,0.0761670246720314,-0.00618651459614436,0.004515528678894043,0.08235353926817576,-0.12813878059387207,0.04407680034637451,0.9859814643859863,0.9888361692428589,0,0,0.0
